Month,Revenue,Expenses,Projects_Active,New_Commissions,Staff_Count,Utilization_Rate
Jan 2025,425000,375000,9,2,24,72
Feb 2025,440000,380000,10,1,24,74
Mar 2025,485000,395000,11,3,25,78
Apr 2025,520000,410000,12,2,25,80
May 2025,545000,425000,13,2,26,82
Jun 2025,490000,415000,12,1,26,75
Jul 2025,430000,390000,10,0,25,68
Aug 2025,415000,385000,9,1,25,65
Sep 2025,505000,405000,11,3,25,79
Oct 2025,570000,440000,14,3,26,84
Nov 2025,595000,465000,15,2,27,85
Dec 2025,480000,420000,12,1,26,70
Jan 2026,510000,430000,12,2,27,76
Feb 2026,535000,440000,13,1,27,78
Mar 2026,560000,450000,14,3,28,81
