Project_Name,Typology,Location,Total_Construction_Cost,Structural_Pct,MEP_Pct,Facade_Envelope_Pct,Interior_Finishes_Pct,Site_Work_Pct,General_Conditions_Pct,Year_Completed
West Chelsea Tower,Residential Condo,New York NY,72000000,18.5,24.2,16.8,22.1,4.3,14.1,2019
Greenpoint Landing Phase 1,Residential Rental,Brooklyn NY,58000000,19.1,23.8,15.2,21.5,5.8,14.6,2020
Wynwood Arts Mixed-Use,Mixed-Use,Miami FL,61000000,17.3,22.9,18.4,21.8,6.2,13.4,2025
Fort Lauderdale Cultural Center,Cultural,Fort Lauderdale FL,22000000,16.8,26.1,14.5,24.2,5.9,12.5,2025
Bushwick Residential,Residential Rental,Brooklyn NY,34000000,19.4,23.5,14.9,22.8,5.1,14.3,2021
Pier 35 Eco-Park,Mixed-Use,New York NY,45000000,15.2,21.8,19.6,20.4,9.8,13.2,2018
Clinton Hill Tower,Residential Condo,Brooklyn NY,52000000,18.9,24.0,16.1,22.3,4.5,14.2,2022
Williamsburg Waterfront,Residential Rental,Brooklyn NY,67000000,18.7,23.6,17.3,21.2,5.6,13.6,2020
Long Island City Mixed-Use,Mixed-Use,Queens NY,41000000,17.8,25.1,15.8,22.0,5.4,13.9,2023
Brickell Hospitality Tower,Hospitality,Miami FL,89000000,16.2,27.3,15.9,24.8,3.4,12.4,2022
Downtown Brooklyn Tower,Residential Condo,Brooklyn NY,74000000,18.3,24.5,16.4,21.9,4.8,14.1,2021
Astoria Residential,Residential Rental,Queens NY,28000000,19.6,23.2,14.7,23.1,5.5,13.9,2023
Jersey City Waterfront Phase 1,Residential Condo,Jersey City NJ,55000000,18.1,24.8,16.9,21.4,5.2,13.6,2024
South Beach Boutique Hotel,Hospitality,Miami FL,38000000,15.8,28.1,14.2,26.3,3.1,12.5,2024
Harlem Mixed-Use,Mixed-Use,New York NY,31000000,17.5,24.3,15.5,22.6,6.8,13.3,2022
