Platform,Month,Followers,Following,Posts_Published,Engagement_Rate,Impressions,Link_Clicks,Top_Post_Type,Notes
Instagram,Oct 2024,12800,1450,12,2.1,45000,320,Project photo,Wynwood completion post performed well
Instagram,Nov 2024,13100,1455,14,2.3,52000,410,Behind-the-scenes,Studio visit reel got 2x normal reach
Instagram,Dec 2024,13400,1460,10,1.8,38000,280,Holiday content,Lower engagement during holidays - typical
Instagram,Jan 2025,13600,1462,11,2.0,42000,350,Project photo,Fort Lauderdale Cultural Center opening
Instagram,Feb 2025,13850,1465,13,2.2,48000,390,Process content,Design process carousel format testing well
Instagram,Mar 2025,14100,1470,15,2.4,55000,450,Team culture,Office culture posts gaining traction
LinkedIn,Oct 2024,4200,890,8,4.8,28000,580,Case study,Harbor View case study - highest engagement ever
LinkedIn,Nov 2024,4450,910,10,5.1,32000,640,Thought leadership,Eran's sustainability post widely shared
LinkedIn,Dec 2024,4600,920,6,4.2,22000,420,Year in review,Annual review post with project highlights
LinkedIn,Jan 2025,4850,935,9,5.5,35000,720,Industry commentary,Affordable housing design post - viral in AEC
LinkedIn,Feb 2025,5100,950,11,5.8,41000,850,Project announcement,Jersey City Waterfront Tower announcement
LinkedIn,Mar 2025,5450,970,12,6.2,48000,920,Award submission,AIA submission teaser post - strong engagement
Website,Oct 2024,N/A,N/A,2,N/A,18500,1200,Project page,Harbor View project page most visited
Website,Nov 2024,N/A,N/A,1,N/A,16200,980,Blog post,Sustainability in design blog post
Website,Dec 2024,N/A,N/A,0,N/A,12800,750,N/A,No new content - holiday slowdown
Website,Jan 2025,N/A,N/A,1,N/A,15400,890,Project page,Cultural Center added to portfolio
Website,Feb 2025,N/A,N/A,2,N/A,19200,1100,News article,Press coverage drove traffic
Website,Mar 2025,N/A,N/A,1,N/A,17800,1050,Careers page,Open positions driving organic traffic
