Award_Program,Category,Deadline,Project_Submitted,Typology,Status,Narrative_Status,Photography_Status,Photographer,Shoot_Date,Budget,Submission_Lead,Notes
AIA New York Design Awards,Architecture - Mixed-Use,2025-04-15,Wynwood Arts Mixed-Use,Mixed-Use,In Progress,Draft - Eran reviewing,Pending - shoot scheduled,Imagen Subliminal,2025-04-08,4500,Lily Golabchi,Lead submission - sustainability narrative emphasis
Architizer A+ Awards,Mixed-Use,2025-04-30,Wynwood Arts Mixed-Use,Mixed-Use,In Progress,Not started - reformat from AIA,Pending - same shoot as AIA,Imagen Subliminal,2025-04-08,2500,Derek Washington,Different format than AIA - shorter narrative + more images
Architizer A+ Awards,Cultural,2025-04-30,Fort Lauderdale Cultural Center,Cultural,In Progress,Not started,Pending - shoot scheduled,Imagen Subliminal,2025-04-21,3500,Lily Golabchi,Community engagement angle for Popular Choice category
CTBUH Awards,Best Tall Building Americas,2025-06-15,Jersey City Waterfront Tower,Residential Condo,Not Started,Not started,Not needed yet,TBD,TBD,3000,Lily Golabchi,Will prep in May - natural fit for tall building category
SARA NY Design Awards,Excellence in Design,2025-09-01,Riverside Tower,Residential Rental,Not Started,Not started,Twilight shots needed,TBD,TBD,2000,Derek Washington,Pending project completion for photography
AIA Miami Design Awards,Residential,2025-05-30,Shore Club Residences,Residential Condo,Not Started,Not started,Not available - under construction,N/A,N/A,0,Lily Golabchi,May submit renderings if category allows - confirm with AIA Miami
Interior Design Magazine Best of Year,Residential,2025-10-15,Harbor View Residences,Residential Condo,Not Started,Not started,Available from Paul Clemence,Paul Clemence,2024-11-15,0,Lily Golabchi,Interior photography already complete
Dezeen Awards,Housing Project,2025-06-30,Wynwood Arts Mixed-Use,Mixed-Use,Not Started,Can adapt AIA narrative,Will have photos by then,Imagen Subliminal,2025-04-08,3500,Sofia Hernandez,International exposure opportunity
Wallpaper* Design Awards,Best New Public Building,2025-11-01,Fort Lauderdale Cultural Center,Cultural,Not Started,Not started,Will have photos by then,Imagen Subliminal,2025-04-21,0,Rachel Simmons (PR),Rachel to nominate through press contacts
AIA National Honor Awards,Architecture,2025-05-15,Wynwood Arts Mixed-Use,Mixed-Use,Considering,Draft available from AIA NY,Will have photos by then,Imagen Subliminal,2025-04-08,5000,Eran Chen,Eran to decide if submitting at national level
